"","tposH","tnegH","cposH","cnegH","RRH","lowH","highH","Study"
"1",25,61,22,64,1.13636363636364,0.700292312039578,1.85035179001791,"Baxter"
"2",21,11,17,14,1.19669117647059,0.797674587976842,1.83883684389134,"Ross"
"3",54,200,49,204,1.09770207295517,0.778612532517505,1.54894861360611,"Goodrich"
"4",5,10,5,10,1,0.370785866516491,2.69697442730202,"Escobar"
"5",41,59,30,70,1.36666666666667,0.938546568120465,2.00661877832072,"Zupancic"
"6",16,112,10,118,1.6,0.769948056714783,3.34661759341764,"HMP"
"7",2,30,3,28,0.645833333333333,0.135069288287231,3.04831158698339,"Wu"
"8",20,23,17,25,1.14911080711354,0.708371699016743,1.88437241144481,"Arumugam"
"9",52,21,47,26,1.1063829787234,0.882666093317878,1.39677517471788,"Turnbaugh"
